AmericaEquity;IncomeFound;AggregateBond;CorporateBond;EquityAllCap;HighYeldPlusBound;SelectEquity;ShortDurationBond;USTechnology;USValue
0.001187782;0.00056689;-0.000584837;-0.001087096;0.001356673;0.001039729;0.000951583;-0.000243707;0.001376324;0
-0.000416959;-0.000283353;-5.32E-05;0.000696055;0.00067675;0.002743303;0.000846953;-0.000178409;6.44E-05;0.002358166
3.21E-05;0.000170034;0.000850516;0.00052131;7.95E-05;-0.002172511;-0.000179519;0.000178409;0.001307568;-0.00039214
-0.004094259;0.000566299;-0.000318748;0.000217028;-0.002993082;0.000259203;-0.002908262;-0.000339039;-0.004345132;-0.002360302
0.002454743;0.000226313;-0.000425362;-0.000955735;0.002157096;0.000103638;0.003805115;0.000422272;0.001661444;0.002752441
-0.002876026;-0.000113142;-0.001492056;-0.001655785;-0.002317308;0.000776497;-0.001410173;-0.000452025;-0.007976507;0.000783218
-0.003875474;-0.000962897;0.000320158;0.001481789;-0.004753038;-5.17E-05;-0.004543573;0.000232019;-0.017798234;-0.000391433
-0.000621987;0.000793129;-5.33E-05;-0.00056597;0.000161975;0.000568618;-0.000857237;-6.54E-05;0.00632958;0.001953645
-0.000524471;0.000226342;0.000586416;0.001348404;4.05E-05;0.00108348;-0.001119551;0.000118954;0.002246395;-0.000390027
0.001211879;0.00067832;-0.000479736;0.000650954;0.001132029;0.001080783;0.000573154;-0.000339104;-0.000942071;0.003110448
0.011490625;0.001240842;0.000586272;-0.000303657;0.01100346;0.001334397;0.010951773;0.000434244;0.01389914;0.006918111
0.005853327;0.000281516;-0.000586272;-0.000477605;0.005476674;0.000716827;0.006625963;1.19E-05;0.00589681;0.001522506
-0.00413662;-0.000168888;-0.001602959;-0.00169757;-0.00300362;0.001175081;-0.00210531;-0.000208139;-0.005940307;0.001517188
-0.000952888;0;0.000481509;0.00121944;-0.001529277;0.00045895;-5.03E-05;-5.95E-05;0.000108734;-0.0003788
-0.000222642;0.000281443;0.00042756;0.001042516;0.000314137;0.000407549;2.51E-05;-6.54E-05;-0.000195741;-0.000758593
0.009160612;-0.000394071;-0.00219571;-0.00252371;0.00855091;-0.001019591;0.009272129;-0.001042496;0.009701823;0
-0.001341523;-0.00056358;-0.00080609;-0.000436609;-3.85E-05;-0.000766267;-0.000541422;-7.75E-05;-0.001000998;0
-0.002067178;-0.000112804;0.000430101;0.000916372;-0.001001922;0.000102247;-0.001084874;-0.000143192;-0.000661498;-0.001521173
0.003906817;0.000789012;0;-0.000436126;0.003993894;0.000153326;0.004078835;-0.000149208;0.003721119;0.003037037
-0.003592975;-0.000337972;0.000268597;0.000741154;-0.003377053;0.000153271;-0.003511404;0.000644212;-0.003593009;-0.001136401
-0.001728944;0.000619415;0.000214758;0.000217746;-0.002085359;0.000408459;-0.001952111;-1.19E-05;-0.00156125;-0.001519842
-0.000725059;0.000112526;0.000321938;0.000739521;0.000232202;0.000408076;0.001063629;0.000131115;-0.000793467;0
0.002454003;0.000337403;-0.000107286;-0.00047837;0.002045741;0.000305805;0.00167672;-7.75E-05;0.00403799;0.001519842
0.000407656;0.000168603;5.36E-05;0.000652192;0.000307956;0.000458305;0.000295221;4.17E-05;-2.13E-05;-0.001519842
-0.005837591;-0.00039351;0.000857442;0.001214811;-0.00522623;0;-0.005021373;5.96E-06;-0.007270043;-0.003055735
-0.007013425;0.000281115;0.000535043;-0.000867375;-0.006079085;0.000305268;-0.005684662;0.00027404;-0.006295338;-0.00192081
0.01027322;0.000505549;0.000267275;0.001473508;0.009454297;0.000203393;0.009277272;-0.000190619;0.008796743;0.003069232
-0.000346969;0.0007292;0.000534056;0.001123437;-0.000425305;0.001066252;-0.001284969;0.000422822;-0.000774757;0.001907313
-0.00269051;0.000672023;0.00048009;0.000905274;-0.001666564;0.001670268;-0.001959469;-0.000261982;0.000516659;-0.000380793
0.000444291;0.000615108;0.001011783;0.000731462;-0.000932964;0.000706662;-0.000397933;-0.000351542;-0.000775218;-0.001144387
0.000697255;-0.000111773;-0.000212811;0.000300832;0.000350096;0.000504056;0.002035565;0.000393232;0.005397693;-0.001530555
-0.002477153;5.59E-05;0.000372351;0;-0.002456622;0.000100741;-0.00335633;0.000113137;-0.002262289;-0.000383483
0.006700062;-0.000503271;-0.000265933;-0.00047283;0.00571065;-0.000100741;0.006367305;-8.34E-05;0.006815017;0.001531905
-0.008327412;-0.000167887;0.00079731;0.001545534;-0.008850331;0.002361258;-0.008970727;0.000130989;-0.009067642;-0.001531905
0.006031965;0.000447553;-0.001116644;-0.002234207;0.005712939;-0.002310884;0.004769359;-0.000369252;0.007590592;0.003058424
-0.008597019;0.000111816;0.001329013;0.002362753;-0.007924299;-0.001817134;-0.007413742;0.00096416;-0.007547576;-0.004210909
0.001124076;0.00039113;-0.000159267;-0.001029439;0.001186058;0.002370857;0.001915638;-0.000547285;0.003128751;-0.000770026
0.005735447;-0.000111716;-0.001915773;-0.002497932;0.005024432;-0.000452993;0.004628049;-0.000643346;0.006401138;0.000770026
-0.002603425;-0.00055901;-0.000907617;-0.000605108;-0.00219104;-0.000201482;-0.00257061;-5.96E-06;-0.001813253;0.001152485
-0.003998909;-0.000335751;0.000907617;0.001381867;-0.003781979;-0.000201576;-0.003973077;0.000446876;-0.004118377;-0.001537327
-0.000225031;-5.60E-05;0.000799266;0.000517069;-0.000712802;-0.000151243;-0.001062278;8.93E-05;0.000660719;0
0.00689067;0.000279847;-0.00143974;-0.0016395;0.007192878;0.000705351;0.006734162;-0.000345472;0.010333066;0.004595752
0.002241321;0.000391483;-0.000694914;-0.000432478;0.003184789;0.000503122;0.003254088;-0.00052469;0.001743407;0.000761253
-0.002779696;0.00016767;0.000481213;0.000605349;-0.002366945;0.002756798;-0.001363252;0.000560442;-0.001203033;-0.001523842
-0.002893294;0.000446805;0.000373908;0.000172802;-0.002458167;-0.001852645;-0.002314915;0.000101279;-0.002123795;-0.004218346
-0.006524584;-0.000390929;0.00026688;0.000129556;-0.005711115;-0.000301175;-0.006208801;8.34E-05;-0.006095609;-0.000385526
0.004221647;0.000223431;-0.000160109;-0.000777918;0.004378682;0.002203783;0.00413233;-0.000280011;0.002953391;0.002308036
-0.003122003;0.000223316;0.000533466;0.001123213;-0.004140864;-0.002053169;-0.003955144;0.000280011;-0.000652236;-0.003080116
0.004211023;0.000223202;0;-8.63E-05;0.004885963;0.000551804;0.004932072;7.74E-05;0.005918249;0.003846743
0.001787748;0.000501785;0.000639295;0.000474427;0.002032705;0.0010515;0.002270989;9.53E-05;0.000954403;0.001529208
0.003047693;0.000334201;5.32E-05;0.000344712;0.003147498;0.000150007;0.002704657;0.0001131;0.006683958;-0.000763931
-0.003940647;-0.000222772;0.001222542;0.001891043;-0.003967253;-1.00E-04;-0.004100782;0.00016067;-0.00327771;-0.003454415
0.005740147;0.0001114;-0.000106171;-0.000772613;0.004586292;0.001696855;0.004570517;-0.000607288;0.006368787;0.003071945
0.004887157;-5.57E-05;-0.001063145;-0.001118429;0.005264706;-0.00209708;0.005011713;0.000190613;0.0020015;0.003809625
0.002020195;0.000389727;-0.000159696;0.000172254;0.00308295;0.000400225;0.002994055;-0.000542276;0.003515598;0.001892354
0.000124013;0.000166919;-0.000319569;-0.000258406;-0.000911187;0.000249954;-2.43E-05;0.000333788;-0.002246702;-0.000377812
0.003458072;0.000111243;-0.001066932;-0.00107835;0.005401132;5.00E-05;0.005568109;-0.000321863;0.004939422;0.003388531
-0.002993337;-0.000278162;0.000106811;0.000690452;-0.002975534;0.002441683;-0.003076536;7.75E-05;-0.001314355;0.00112366
-0.001085155;5.56E-05;0.00127969;0.001678393;-0.001097421;-0.002141963;-0.00094173;0.000381373;0.000199401;-0.002250236
0.00692915;0.000444917;-0.000159755;-0.000515738;0.008070876;0.002291008;0.007477278;-2.38E-05;0.010361472;0.004116566
0.001068;0.000333389;0.000372671;0.001030865;0.001114338;-0.001442923;0.000996796;0.000119117;0.001535057;-0.000372625
-0.002046761;0.000333133;0.000159618;0.000171573;-0.002380721;0.000697182;-0.002353261;8.93E-05;-0.004680363;0.001116917
-0.002703023;0.000110988;0.000903397;0.001327399;-0.002431352;0.000198989;-0.001982811;0.000249988;-0.003919421;-0.001863128
0.001169279;0.000609925;0.000795557;0.000726209;0.001310881;0.000348012;0.000550361;-0.000297621;0.002072443;0.001863128
-0.000338152;0.000110804;-0.000583266;-0.000128066;-0.00074859;9.94E-05;-0.000813824;0.000244064;-0.001815318;-0.000744292
0.006622658;0.00094069;-0.001275306;-0.002268756;0.007612556;0.000595808;0.007858707;-0.000285747;0.002739789;0.004815255
0.001572108;0.000221043;-0.001225692;-0.000687243;0.002056531;0.000694078;0.002229503;-0.000762914;0.004048347;0.000736093
-0.005588593;-0.000221043;-0.000213517;0.000171913;-0.005270942;-0.000247758;-0.005156918;-6.56E-05;-0.007976139;-0.003322286
-0.003375681;-0.000387096;0.000160148;8.59E-05;-0.002678313;-0.000347098;-0.002089556;0.000149134;-0.002704902;-0.001484769
0.001015462;-0.000664398;-0.000213544;-0.000946176;7.46E-05;-0.001142423;0.001022289;-0.000113338;0.003338909;-0.001489862
0.001074417;-0.001054046;-0.000908734;-0.001898558;0.001303797;-0.001794196;0.001351429;-0.000387957;0.003588416;0.00074557
-0.002182312;-0.001502269;-0.0007498;-0.001386001;-0.002274872;-0.002303424;-0.002850023;-0.000167227;-0.002500875;-0.001492422
-0.000987174;-0.000557717;-0.000536365;-0.000303778;-0.000561225;-0.000854367;0.000238218;2.99E-05;0.001734421;0.001119797
-0.001113259;5.58E-05;5.37E-05;-0.000130256;-0.001274801;-0.000301943;-0.001909409;-5.97E-06;0.000982389;-0.001493706
-0.001271364;-0.000893725;-0.000322097;-0.000651866;-0.001203241;-0.001512871;-0.000981836;-0.000537922;-0.001198814;-0.001874386
0.002631627;-0.000335622;0.000161079;0.000347783;0.00251548;-0.000606627;0.002581537;0.000322833;0.001767583;0.002248294
-0.001731984;0.001285144;0.001607508;0.001864579;-0.002553135;0.002270496;-0.003013289;9.56E-05;-0.001197242;0.001864728
-0.002579821;0.000557574;0.00026734;0.000562138;-0.000791511;0.003008981;-0.00074458;0.000507566;-9.83E-05;-0.001491141
-0.001092487;5.57E-05;0.000267176;0.000259203;-0.00094416;-0.002455771;-0.00144476;-0.000346275;0.002235301;-0.001121726
-0.0074709;-0.000390177;0.00085386;0.001250638;-0.007205051;-0.000452573;-0.005949832;0.00014332;-0.006681131;-0.005273372
-0.003639896;-0.000781407;0.00095859;0.000860415;-0.00358971;-0.00141103;-0.003387573;0.000686085;-0.004692531;-0.003424153
0.003099036;0.000167563;0.000212733;-0.000214944;0.003628148;-0.000606133;0.002506403;-1.79E-05;0.003001079;0.00266556
-0.000191053;0.000334931;-0.000212733;8.60E-05;-7.69E-05;0.000656606;0.000122492;-4.77E-05;0.000995769;-0.000379794
-0.008068617;5.58E-05;0.00074411;0.001116328;-0.008580182;0.002516198;-0.008733934;0.000172868;-0.009695643;-0.005737131
0.002620235;0.000223116;0.000159286;4.29E-05;0.003125559;-0.002112625;0.003063248;-9.54E-05;0.006100139;0.00192081
0.011395115;0.000501591;-0.000637497;-0.000471896;0.008938953;0.001258752;0.0090622;-0.000166942;0.007477049;0.003816321
0.002068521;0.000667889;5.32E-05;8.58E-05;0.002585546;0.001605898;0.002109348;-5.96E-05;0.003064789;0.000759256
0.003363743;0.000277984;-0.000425466;-0.000429357;0.002268651;0.001050652;0.002363841;4.77E-05;0.000665106;0.001136401
0.000186113;0.000166705;0.000584908;0.000729654;0.000414637;0.000549329;0.000168355;0.000113292;0.001560949;-0.001895658
-0.001242262;0.000333218;0.000902403;0.000814048;-0.001396264;-4.99E-05;-0.000481186;0.000160944;-0.000740751;-0.001141379
0.002480981;0.000111016;0.000318048;-0.000642543;0.001810506;0.000249494;0.002926976;0.000381258;0.000175555;0.003792989
-0.002792102;0.000277416;0.000476636;0.000770937;-0.002945917;0.000398893;-0.00295105;-0.00035146;-0.004095207;-0.003792989
-0.00077878;-0.000110945;-0.00015882;0.0008977;0.00022732;0.000249122;-0.000337166;1.19E-05;0.001159981;-0.001144387
0.004744402;0.000166407;-0.000954144;-0.00124017;0.004184096;0.000497816;0.003742287;-0.00032788;0.003188681;0.00266556
-0.003685602;0.000166343;0.000742293;0.001154755;-0.003654145;0.000198967;-0.003814571;0.000238482;-0.004860825;-0.003047693
0.000745837;0;0.000846785;0.000640206;0.000906985;4.97E-05;0.00077041;0.000148985;0.001907693;0.000382133
-0.002178948;-0.000221805;0.000422774;0.000639264;-0.001967534;-0.00029845;-0.001614614;0.000101281;-0.001809153;-0.001914038
-0.001907753;0.000277239;0.000844315;0.000808386;-0.001938394;-0.000248865;-0.002323989;0.000321558;-0.000275968;0
0.001314433;0.000110846;0.000632161;0.000297447;0.001141279;-0.000149388;0.00053368;0;0.003065205;0.001149435
-0.003545537;0;-0.000315965;-0.000254942;-0.003777659;9.96E-05;-0.004189995;-9.53E-05;-0.003479486;-0.00230192
